,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,71.32509586706433,100,100,100,100,100,100,100,100,
Split 3,54.11163187047294,90.28547081380486,100,100,100,100,100,100,100,
Split 4,50.447379633574776,80.9970174691095,96.29314017895186,100,100,100,100,100,100,
Split 5,44.3971026842778,71.75117170856412,89.81678738815509,98.42351938645079,100,100,100,100,100,
Split 6,38.346825734980825,67.31998295696634,85.64124414145718,95.3983809118023,100.0,100,100,100,100,
Split 7,34.000852151683,60.33233915636983,77.75884107371111,91.13762249680443,98.12526629740094,100.0,100,100,100,
Split 8,28.41925862803579,53.30208777162335,71.32509586706433,87.08990200255646,94.07754580315296,98.04005112910097,100.0,100,100,
Split 9,23.51938645078824,45.76054537707712,62.377503195568806,76.3953983809118,86.87686408180656,93.77929271410311,98.04005112910097,100.0,100,
