,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,71.96420962931401,100,100,100,100,100,100,100,100,
Split 3,57.17937792927141,90.96719216020452,100,100,100,100,100,100,100,
Split 4,49.76565828717512,81.72134639965914,96.8044311887516,100,100,100,100,100,100,
Split 5,45.16403919897742,75.4154239454623,92.4158500213038,98.3809118023008,100,100,100,100,100,
Split 6,44.73796335747763,73.49808265871324,89.09245845760545,96.88964635705155,100.0,100,100,100,100,
Split 7,35.4069024286323,64.16702172986791,82.65871325095867,93.09757136770345,98.2104814657009,100.0,100,100,100,
Split 8,33.06348530038347,58.287175117170854,77.03451214316148,88.49595227950576,94.29058372390286,98.2104814657009,100.0,100,100,
Split 9,25.86280357903707,47.33702599062633,64.89135066041756,77.71623348956113,87.64380059650618,94.29058372390286,98.08265871325096,100.0,100,
