,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,68.9816787388155,100,100,100,100,100,100,100,100,
Split 3,53.34469535577333,88.87942053685556,100,100,100,100,100,100,100,
Split 4,44.48231785257776,77.03451214316148,94.84448231785258,100,100,100,100,100,100,
Split 5,38.26161056668087,69.49296974861525,88.62377503195569,96.71921602045164,100,100,100,100,100,
Split 6,39.49723050703025,68.12952705581593,85.12995313165743,94.67405198125266,100.0,100,100,100,100,
Split 7,31.146144013634427,59.181934384320414,77.84405624201108,89.00724328930549,97.23050703025139,100.0,100,100,100,
Split 8,28.54708138048573,52.620366425223686,70.94162760971453,84.23519386450789,91.86195142735407,97.52876011930124,100.0,100,100,
Split 9,22.965487856838518,41.88325521942906,59.56540264167022,73.15722198551342,84.1925862803579,91.86195142735407,97.31572219855134,100.0,100,
