31-2016_Simon Abrams,3.0,-1,-1,-1,1,-1,-1,0,0,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,
4-minute-mile-2014_Christy Lemire,2.0,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,0,0,-1,-1,1,-1,0,
45-years-2015_Susan Wloszczyna,4.0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-2,-1,1,-1,-1,-2,-1,1,-1,-1,-1,1,1,0,
47-meters-down-2017_Peter Sobczynski,2.0,-1,0,-1,1,-1,-2,0,-2,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,-1,2,-1,-1,-1,-1,
47-ronin-2013_Simon Abrams,1.0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-2,-1,-1,-1,-1,
5-flights-up-2015_Christy Lemire,2.0,-1,-1,-1,-1,1,-1,-1,1,-1,0,0,-1,-1,1,-1,-2,0,-1,1,1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,
5-to-7-2015_Glenn Kenny,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-2,-1,
68-kill-2017_Brian Tallerico,2.0,2,-1,-1,-1,1,-1,1,-1,-1,-2,-1,-1,0,-1,0,1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,
7-boxes-2014_Sheila O&#39;Malley,3.5,-1,0,0,0,1,0,0,0,0,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-2,0,0,0,1,0,-1,-1,0,0,0,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,
7-chinese-brothers-2015_Matt Zoller Seitz,2.5,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,1,-1,-1,-1,-1,1,1,
70-acres-in-chicago-cabrini-green-2015_Odie Henderson,3.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,
71-2015_Odie Henderson,3.0,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,1,0,1,2,-2,1,-1,1,-1,
