,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,74.47805709416276,100,100,100,100,100,100,100,100,
Split 3,60.460161908819764,92.50106518960375,100,100,100,100,100,100,100,
Split 4,54.40988495952279,85.64124414145718,97.91222837665104,100,100,100,100,100,100,
Split 5,49.89348103962505,80.82658713250959,94.37579889220281,98.9774179804005,100,100,100,100,100,
Split 6,49.04132935662548,77.07711972731146,91.8193438432041,97.78440562420111,100.0,100,100,100,100,
Split 7,39.62505325948019,70.13208351086493,86.70643374520665,94.80187473370259,98.9774179804005,100.0,100,100,100,
Split 8,36.940775458031524,63.86876864081806,81.67873881550915,91.94716659565402,96.46357051555177,98.9774179804005,100.0,100,100,
Split 9,30.03834682573498,53.216872603323395,71.49552620366426,82.87175117170857,91.94716659565402,96.46357051555177,98.9774179804005,100.0,100,
