,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,73.1998295696634,100,100,100,100,100,100,100,100,
Split 3,59.608010225820195,91.86195142735407,100,100,100,100,100,100,100,
Split 4,52.57775884107371,84.6186621218577,97.78440562420111,100,100,100,100,100,100,
Split 5,48.27439284192586,79.63357477631018,94.24797613975288,99.10524073285045,100,100,100,100,100,
Split 6,48.27439284192586,76.43800596506179,90.83936940775457,97.69919045590115,100.0,100,100,100,100,
Split 7,39.369407754580315,68.93907115466553,86.06731998295697,94.88708990200256,99.02002556455048,100.0,100,100,100,
Split 8,36.89816787388155,62.59054111631871,80.44311887515978,90.96719216020452,96.42096293140179,98.9774179804005,100.0,100,100,
Split 9,29.52705581593524,51.08649339582446,69.1947166595654,81.5935236472092,90.83936940775457,96.33574776310184,98.9774179804005,100.0,100,
