a-light-beneath-their-feet-2016_Matt Fagerholm_4.0.txt,4,25,2,14,0,
a-long-way-down-2014_Brian Tallerico_1.5.txt,1,20,4,4,0,
a-man-called-ove-2016_Odie Henderson_3.5.txt,2,29,2,6,3,
a-master-builder-2014_Peter Sobczynski_3.0.txt,1,16,3,6,0,
a-merry-friggin-christmas-2014_Matt Zoller Seitz_1.5.txt,1,15,3,4,0,
a-million-ways-to-die-in-the-west-2014_Brian Tallerico_1.0.txt,2,24,8,3,0,
a-monster-calls-2016_Glenn Kenny_3.0.txt,1,23,1,11,0,
a-monster-with-a-thousand-heads-2016_Godfrey Cheshire_4.0.txt,1,16,2,9,2,
a-most-violent-year-2014_Matt Zoller Seitz_3.0.txt,2,21,1,10,3,
a-most-wanted-man-2014_Brian Tallerico_2.5.txt,1,17,2,9,2,
a-murder-in-the-park-2015_Godfrey Cheshire_3.5.txt,1,31,2,2,1,
a-night-in-old-mexico-2014_Sheila O&#39;Malley_1.0.txt,1,15,6,8,1,
a-perfect-day-2016_Glenn Kenny_3.0.txt,0,20,4,5,0,
a-picture-of-you-2014_Brian Tallerico_2.5.txt,1,16,3,6,0,
a-pigeon-sat-on-a-branch-reflecting-on-existence-2015_Simon Abrams_3.0.txt,0,24,2,6,1,
a-quiet-passion-2017_Glenn Kenny_4.0.txt,0,28,4,12,2,
a-sinner-in-mecca-2015_Omer M. Mozaffar_2.0.txt,1,30,4,5,0,
a-stray-2016_Omer M. Mozaffar_4.0.txt,0,24,8,11,0,
a-summers-tale-2014_Glenn Kenny_3.5.txt,0,17,1,4,0,
a-tale-of-love-and-darkness-2016_Susan Wloszczyna_2.5.txt,0,17,3,13,0,
a-taxi-driver-2017_Simon Abrams_2.0.txt,1,25,2,8,0,
a-united-kingdom-2017_Christy Lemire_2.5.txt,0,19,1,10,3,
a-walk-among-the-tombstones-2014_Glenn Kenny_3.5.txt,1,13,4,7,0,
a-walk-in-the-woods-2015_Susan Wloszczyna_2.5.txt,1,29,6,1,0,
a-war-2016_Glenn Kenny_3.5.txt,1,14,5,1,2,
a-wolf-at-the-door-2015_Pablo Villaça_3.5.txt,1,10,1,2,1,
a-woman-a-part-2017_Glenn Kenny_3.0.txt,0,11,3,5,1,
a-year-in-champagne-2015_Glenn Kenny_2.5.txt,0,17,3,5,0,
abacus-small-enough-to-jail-2017_Matt Zoller Seitz_4.0.txt,3,16,3,12,1,
abattoir-2016_Brian Tallerico_0.5.txt,1,13,0,4,0,
abcs-of-death-2-2014_Glenn Kenny_2.5.txt,1,16,2,5,0,
abortion-stories-women-tell-2016_Brian Tallerico_3.0.txt,0,9,5,13,0,
about-alex-2014_Brian Tallerico_2.5.txt,0,21,2,5,0,
about-elly-2015_Godfrey Cheshire_4.0.txt,0,24,4,12,2,
about-last-night-2014_Odie Henderson_3.0.txt,1,23,6,15,3,
absolutely-anything-2017_Nick Allen_3.0.txt,0,19,0,11,1,
absolutely-fabulous-the-movie-2016_Nick Allen_3.0.txt,0,4,2,9,1,
abuse-of-weakness-2014_Peter Sobczynski_4.0.txt,2,16,1,5,2,
accidental-love-2015_Susan Wloszczyna_1.0.txt,5,25,2,1,0,
actress-2014_Christy Lemire_3.0.txt,0,18,4,10,0,
addicted-2014_Sheila O&#39;Malley_1.5.txt,1,22,4,14,0,
addicted-to-fresno-2015_Brian Tallerico_1.0.txt,1,14,5,6,0,
adult-beginners-2015_Glenn Kenny_2.5.txt,1,13,6,3,0,
adult-world-2013_Susan Wloszczyna_2.0.txt,1,19,5,4,0,
aferim-2016_Peter Sobczynski_3.5.txt,0,18,6,2,0,
afflicted-2014_Simon Abrams_2.0.txt,1,28,2,9,0,
affluenza-2014_Sheila O&#39;Malley_1.5.txt,3,26,6,2,0,
after-2014_Glenn Kenny_2.0.txt,1,13,3,4,0,
after-love-2017_Vikram Murthi_2.5.txt,1,18,3,4,0,
after-the-fall-2014_Odie Henderson_1.0.txt,3,32,8,2,0,
after-the-storm-2017_Brian Tallerico_3.5.txt,0,12,7,13,1,
afterimage-2017_Godfrey Cheshire_3.0.txt,1,24,6,4,0,
aftermath-2017_Simon Abrams_2.0.txt,0,25,4,8,1,
afternoon-2015_Tina Hassannia_2.5.txt,0,12,11,10,0,
afternoon-of-a-faun-tanaquil-le-clercq-2014_Godfrey Cheshire_3.5.txt,0,15,3,16,1,
against-the-sun-2015_Sheila O&#39;Malley_3.0.txt,0,13,10,9,0,
ai-weiwei-the-fake-case-2014_Christy Lemire_3.0.txt,0,19,2,11,0,
alex-of-venice-2015_Glenn Kenny_2.5.txt,1,10,1,5,1,
