,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,64.8068669527897,100,100,100,100,100,100,100,100,
Split 3,54.220314735336196,90.91559370529328,100,100,100,100,100,100,100,
Split 4,48.569384835479255,79.97138769670958,98.068669527897,100,100,100,100,100,100,
Split 5,42.70386266094421,74.0343347639485,91.84549356223177,98.068669527897,100,100,100,100,100,
Split 6,43.06151645207439,69.88555078683834,86.26609442060087,97.63948497854076,100.0,100,100,100,100,
Split 7,34.12017167381974,60.87267525035765,86.26609442060087,91.84549356223177,98.068669527897,100.0,100,100,100,
Split 8,34.12017167381974,58.6552217453505,75.67954220314735,86.05150214592274,95.49356223175965,98.068669527897,100.0,100,100,
Split 9,27.181688125894134,49.64234620886982,65.09298998569385,75.67954220314735,86.05150214592274,95.49356223175965,98.068669527897,100.0,100,
