,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,75.84149978696207,100,100,100,100,100,100,100,100,
Split 3,63.95398380911802,93.26800170430336,100,100,100,100,100,100,100,
Split 4,59.65061780997017,87.38815509160631,98.12526629740094,100,100,100,100,100,100,
Split 5,56.242011077971874,82.7865360034086,95.14273540690242,99.57392415850022,100,100,100,100,100,
Split 6,54.580315296122706,79.93182786536003,93.22539412015338,98.46612697060077,100.0,100,100,100,100,
Split 7,48.95611418832552,74.77631018321262,89.90200255645505,96.5913932680017,99.4034938219003,100.0,100,100,100,
Split 8,46.78312739667661,71.11205794631445,85.982104814657,94.54622922880273,97.82701320835109,99.44610140605027,100.0,100,100,
Split 9,43.41712824882829,65.23221133361739,79.76139752876011,88.06987643800596,95.01491265445249,97.91222837665104,99.48870899020025,100.0,100,
