,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,75.1788268955651,100,100,100,100,100,100,100,100,
Split 3,63.805436337625174,93.20457796852646,100,100,100,100,100,100,100,
Split 4,58.36909871244635,86.98140200286123,98.78397711015737,100,100,100,100,100,100,
Split 5,53.648068669527895,81.9027181688126,95.27896995708154,99.28469241773963,100,100,100,100,100,
Split 6,51.21602288984263,79.68526466380543,92.77539341917024,98.21173104434907,100.0,100,100,100,100,
Split 7,44.84978540772532,72.8898426323319,87.91130185979972,96.28040057224607,99.14163090128756,100.0,100,100,100,
Split 8,42.06008583690987,68.6695278969957,84.33476394849787,94.20600858369099,97.71101573676681,99.21316165951359,100.0,100,100,
Split 9,37.19599427753934,61.44492131616596,77.6824034334764,86.48068669527898,94.4206008583691,97.85407725321889,99.21316165951359,100.0,100,
