,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,74.8211731044349,100,100,100,100,100,100,100,100,
Split 3,63.94849785407726,93.34763948497854,100,100,100,100,100,100,100,
Split 4,56.65236051502146,86.12303290414879,98.14020028612303,100,100,100,100,100,100,
Split 5,52.21745350500715,80.90128755364807,95.06437768240343,99.21316165951359,100,100,100,100,100,
Split 6,50.92989985693849,78.32618025751073,92.06008583690986,98.42632331902719,100.0,100,100,100,100,
Split 7,42.846924177396275,70.45779685264664,87.48211731044348,95.92274678111588,99.28469241773963,100.0,100,100,100,
Split 8,40.557939914163086,65.09298998569385,83.2618025751073,92.84692417739629,97.4964234620887,99.35622317596567,100.0,100,100,
Split 9,32.83261802575107,55.15021459227468,73.24749642346208,85.12160228898426,92.91845493562232,97.4964234620887,99.35622317596567,100.0,100,
