,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,72.38912732474965,100,100,100,100,100,100,100,100,
Split 3,62.160228898426325,92.7038626609442,100,100,100,100,100,100,100,
Split 4,54.434907010014314,84.47782546494993,98.28326180257511,100,100,100,100,100,100,
Split 5,50.786838340486405,79.47067238912733,94.13447782546494,98.92703862660944,100,100,100,100,100,
Split 6,48.21173104434907,77.1101573676681,91.3447782546495,98.21173104434907,100.0,100,100,100,100,
Split 7,40.343347639484975,68.59799713876967,87.19599427753934,94.63519313304721,99.07010014306151,100.0,100,100,100,
Split 8,38.55507868383405,63.44778254649499,82.26037195994277,92.41773962804005,97.28183118741059,99.21316165951359,100.0,100,100,
Split 9,31.330472103004293,55.43633762517882,71.45922746781116,83.97711015736766,92.41773962804005,97.35336194563662,99.21316165951359,100.0,100,
