beasts-of-no-nation-2015_Matt Zoller Seitz,2.5,1,-1,1,-1,1,0,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
beyond-outrage-2014_Matt Zoller Seitz,2.5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-2,-2,1,-1,
black-mass-2015_Matt Zoller Seitz,3.0,-1,-1,1,-2,-1,1,-1,-2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,2,0,0,
black-or-white-2015_Matt Zoller Seitz,2.5,1,-1,-2,-2,-1,0,-2,-1,-1,-2,-1,1,-1,-1,-1,1,-1,0,1,1,1,0,-1,1,-1,2,1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,
black-sea-2015_Matt Zoller Seitz,3.0,0,0,0,1,1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-2,0,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,2,-1,-2,1,-1,1,
blackhat-2015_Matt Zoller Seitz,3.5,0,0,-1,-1,2,-1,1,1,-1,-2,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,0,0,
bleed-for-this-2016_Matt Zoller Seitz,2.5,-1,-1,1,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-2,0,-1,-1,1,-1,0,-2,0,1,-1,1,1,-1,-1,0,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,
boyhood-2014_Matt Zoller Seitz,4.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,1,-1,2,0,1,-1,-1,-1,0,-1,0,0,1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,0,0,1,-1,-1,0,-1,-1,1,0,1,-1,0,-1,0,0,
buena-vista-social-club-adios-2017_Matt Zoller Seitz,2.0,1,-1,-1,-1,-1,1,-2,-1,-1,-1,-1,-1,0,-1,-1,1,-1,0,-1,
burning-sands-2017_Matt Zoller Seitz,3.0,1,-1,-1,-1,-1,1,-1,1,-1,-2,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,-1,-1,
cameraperson-2016_Matt Zoller Seitz,4.0,-1,0,-1,2,-1,-1,1,-1,0,-1,0,1,-1,-1,0,0,1,1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,
camp-x-ray-2014_Matt Zoller Seitz,3.0,1,1,1,1,-1,1,1,1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,0,-1,-1,1,-1,1,1,-1,2,-2,-1,1,1,-1,-2,
