,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,78.27868852459017,100,100,100,100,100,100,100,100,
Split 3,43.0327868852459,81.9672131147541,100,100,100,100,100,100,100,
Split 4,50.0,82.37704918032787,92.62295081967213,100,100,100,100,100,100,
Split 5,40.16393442622951,71.72131147540983,88.9344262295082,94.26229508196722,100,100,100,100,100,
Split 6,29.508196721311474,54.09836065573771,72.95081967213115,85.65573770491804,93.0327868852459,100,100,100,100,
Split 7,27.86885245901639,50.81967213114754,72.95081967213115,89.34426229508196,94.67213114754098,97.1311475409836,100,100,100,
Split 8,22.540983606557376,42.62295081967213,61.885245901639344,74.59016393442623,84.01639344262296,88.9344262295082,93.44262295081968,100,100,
Split 9,19.262295081967213,35.24590163934426,52.04918032786885,68.44262295081968,78.27868852459017,85.65573770491804,90.57377049180327,95.08196721311475,100,
