,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,75.40983606557377,100,100,100,100,100,100,100,100,
Split 3,57.786885245901644,96.72131147540983,100,100,100,100,100,100,100,
Split 4,54.91803278688525,88.9344262295082,98.77049180327869,100,100,100,100,100,100,
Split 5,31.967213114754102,63.114754098360656,92.62295081967213,98.77049180327869,100,100,100,100,100,
Split 6,30.327868852459016,52.86885245901639,82.37704918032787,96.72131147540983,100.0,100,100,100,100,
Split 7,22.131147540983605,43.44262295081967,67.21311475409836,93.0327868852459,98.77049180327869,100.0,100,100,100,
Split 8,22.131147540983605,44.26229508196721,66.39344262295081,91.39344262295081,97.1311475409836,98.77049180327869,100.0,100,100,
Split 9,19.672131147540984,39.34426229508197,62.295081967213115,81.55737704918032,92.21311475409836,97.1311475409836,98.77049180327869,100.0,100,
