,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,85.24590163934425,100,100,100,100,100,100,100,100,
Split 3,68.85245901639344,96.72131147540983,100,100,100,100,100,100,100,
Split 4,68.44262295081968,93.44262295081968,98.77049180327869,100,100,100,100,100,100,
Split 5,45.90163934426229,70.49180327868852,93.0327868852459,98.36065573770492,100,100,100,100,100,
Split 6,45.90163934426229,59.42622950819673,84.42622950819673,96.72131147540983,99.59016393442623,100,100,100,100,
Split 7,38.52459016393443,54.09836065573771,70.49180327868852,92.62295081967213,97.95081967213115,99.18032786885246,100,100,100,
Split 8,37.704918032786885,53.278688524590166,69.67213114754098,91.80327868852459,96.31147540983606,97.95081967213115,99.18032786885246,100,100,
Split 9,32.37704918032787,47.950819672131146,63.934426229508205,80.73770491803278,90.1639344262295,94.67213114754098,96.31147540983606,97.54098360655738,100,
