,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,77.45901639344262,100,100,100,100,100,100,100,100,
Split 3,36.47540983606557,75.81967213114754,100,100,100,100,100,100,100,
Split 4,44.67213114754098,76.22950819672131,91.39344262295081,100,100,100,100,100,100,
Split 5,36.0655737704918,68.85245901639344,84.42622950819673,93.0327868852459,100,100,100,100,100,
Split 6,26.639344262295083,51.63934426229508,68.0327868852459,77.8688524590164,88.11475409836066,100,100,100,100,
Split 7,25.40983606557377,49.59016393442623,70.08196721311475,84.8360655737705,90.57377049180327,96.31147540983606,100,100,100,
Split 8,20.081967213114755,34.83606557377049,51.63934426229508,66.39344262295081,73.36065573770492,79.91803278688525,90.98360655737704,100,100,
Split 9,12.704918032786885,27.049180327868854,44.26229508196721,59.01639344262295,68.44262295081968,75.40983606557377,82.37704918032787,90.1639344262295,100,
