,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,88.52459016393442,100,100,100,100,100,100,100,100,
Split 3,79.09836065573771,99.59016393442623,100,100,100,100,100,100,100,
Split 4,79.91803278688525,97.95081967213115,100.0,100,100,100,100,100,100,
Split 5,77.04918032786885,93.44262295081968,98.77049180327869,100.0,100,100,100,100,100,
Split 6,79.50819672131148,92.62295081967213,97.1311475409836,100.0,100.0,100,100,100,100,
Split 7,78.27868852459017,90.57377049180327,95.90163934426229,99.18032786885246,100.0,100.0,100,100,100,
Split 8,79.91803278688525,90.57377049180327,96.72131147540983,99.18032786885246,100.0,100.0,100.0,100,100,
Split 9,78.68852459016394,88.9344262295082,95.49180327868852,97.95081967213115,99.59016393442623,100.0,100.0,100.0,100,
