,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,59.42622950819673,100,100,100,100,100,100,100,100,
Split 3,35.65573770491803,74.18032786885246,100,100,100,100,100,100,100,
Split 4,38.114754098360656,70.49180327868852,87.70491803278688,100,100,100,100,100,100,
Split 5,33.19672131147541,59.01639344262295,79.91803278688525,92.62295081967213,100,100,100,100,100,
Split 6,25.0,43.44262295081967,67.62295081967213,87.70491803278688,96.31147540983606,100,100,100,100,
Split 7,20.901639344262296,45.08196721311475,65.57377049180327,80.73770491803278,93.0327868852459,97.54098360655738,100,100,100,
Split 8,16.39344262295082,36.47540983606557,52.04918032786885,64.34426229508196,78.27868852459017,89.34426229508196,95.90163934426229,100,100,
Split 9,10.655737704918032,27.049180327868854,40.98360655737705,55.32786885245902,66.39344262295081,81.14754098360656,90.57377049180327,96.72131147540983,100,
