,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,72.54098360655738,100,100,100,100,100,100,100,100,
Split 3,37.704918032786885,77.8688524590164,100,100,100,100,100,100,100,
Split 4,36.47540983606557,68.44262295081968,86.0655737704918,100,100,100,100,100,100,
Split 5,27.86885245901639,56.9672131147541,81.55737704918032,91.80327868852459,100,100,100,100,100,
Split 6,30.737704918032787,53.68852459016394,71.31147540983606,85.65573770491804,95.49180327868852,100,100,100,100,
Split 7,20.901639344262296,43.85245901639344,63.52459016393443,82.78688524590164,92.21311475409836,97.95081967213115,100,100,100,
Split 8,16.80327868852459,33.19672131147541,50.409836065573764,68.44262295081968,78.27868852459017,88.52459016393442,94.26229508196722,100,100,
Split 9,13.524590163934427,24.59016393442623,43.0327868852459,56.557377049180324,71.72131147540983,80.73770491803278,89.75409836065575,95.90163934426229,100,
