,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,81.04347826086956,100,100,100,100,100,100,100,100,
Split 3,77.73913043478261,94.26086956521739,100,100,100,100,100,100,100,
Split 4,76.0,88.0,98.26086956521739,100,100,100,100,100,100,
Split 5,61.91304347826087,78.95652173913044,87.65217391304347,97.04347826086956,100,100,100,100,100,
Split 6,52.347826086956516,68.34782608695652,81.3913043478261,92.52173913043478,97.04347826086956,100,100,100,100,
Split 7,49.04347826086956,64.8695652173913,76.69565217391305,85.91304347826086,96.17391304347827,96.34782608695652,100,100,100,
Split 8,46.95652173913044,62.78260869565217,74.08695652173914,84.17391304347827,91.30434782608695,95.82608695652173,96.0,100,100,
Split 9,44.869565217391305,59.82608695652174,70.95652173913042,76.69565217391305,84.52173913043478,90.6086956521739,95.65217391304348,95.82608695652173,100,
