,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,73.1998295696634,100,100,100,100,100,100,100,100,
Split 3,59.608010225820195,91.86195142735407,100,100,100,100,100,100,100,
Split 4,52.57775884107371,84.6186621218577,97.78440562420111,100,100,100,100,100,100,
Split 5,48.27439284192586,79.63357477631018,94.24797613975288,99.10524073285045,100,100,100,100,100,
Split 6,37.45206646783127,60.801022582019606,78.78142309331061,90.66893907115467,97.65658287175117,100,100,100,100,
Split 7,34.767788666382614,57.17937792927141,74.39284192586281,86.74904132935663,94.67405198125266,99.02002556455048,100,100,100,
Split 8,29.52705581593524,51.08649339582446,69.1947166595654,81.5935236472092,90.83936940775457,96.33574776310184,98.9774179804005,100,100,
