,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,62.675756284618664,100,100,100,100,100,100,100,100,
Split 3,46.484874307626754,90.54111631870472,100,100,100,100,100,100,100,
Split 4,46.484874307626754,79.12228376651044,98.25308904985087,100,100,100,100,100,100,
Split 5,40.56242011077972,73.1998295696634,92.33063485300383,98.25308904985087,100,100,100,100,100,
Split 6,27.865360034086066,54.45249254367277,70.64337452066468,84.6186621218577,94.07754580315296,100,100,100,100,
Split 7,26.58713250958671,45.717937792927145,62.164465274818916,78.35534725181083,92.33063485300383,98.25308904985087,100,100,100,
Split 8,26.58713250958671,43.03365999147849,59.22454196847039,73.1998295696634,84.6186621218577,92.33063485300383,98.25308904985087,100,100,
