,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,71.96420962931401,100,100,100,100,100,100,100,100,
Split 3,57.17937792927141,90.96719216020452,100,100,100,100,100,100,100,
Split 4,49.76565828717512,81.72134639965914,96.8044311887516,100,100,100,100,100,100,
Split 5,45.16403919897742,75.4154239454623,92.4158500213038,98.3809118023008,100,100,100,100,100,
Split 6,33.91563698338304,58.24456753302088,75.03195568811249,88.70899020025564,96.67660843630166,100,100,100,100,
Split 7,29.995739241585,52.87601193012355,69.53557733276523,83.2126118449084,92.24541968470388,98.16787388155092,100,100,100,
Split 8,25.86280357903707,47.33702599062633,64.89135066041756,77.71623348956113,87.64380059650618,94.29058372390286,98.08265871325096,100,100,
