,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,74.47805709416276,100,100,100,100,100,100,100,100,
Split 3,60.460161908819764,92.50106518960375,100,100,100,100,100,100,100,
Split 4,54.40988495952279,85.64124414145718,97.91222837665104,100,100,100,100,100,100,
Split 5,49.89348103962505,80.82658713250959,94.37579889220281,98.9774179804005,100,100,100,100,100,
Split 6,38.048572645930975,62.547933532168734,80.18747337025991,91.8193438432041,97.78440562420111,100,100,100,100,
Split 7,34.89561141883255,59.181934384320414,75.03195568811249,87.72901576480614,94.80187473370259,98.9774179804005,100,100,100,
Split 8,30.03834682573498,53.216872603323395,71.49552620366426,82.87175117170857,91.94716659565402,96.46357051555177,98.9774179804005,100,100,
