,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,71.32509586706433,100,100,100,100,100,100,100,100,
Split 3,54.11163187047294,90.28547081380486,100,100,100,100,100,100,100,
Split 4,50.447379633574776,80.9970174691095,96.29314017895186,100,100,100,100,100,100,
Split 5,45.41968470387729,72.34767788666383,89.73157221985514,98.42351938645079,100,100,100,100,100,
Split 6,31.4017895185343,56.028973157221984,71.92160204516404,85.47081380485726,94.71665956540264,100,100,100,100,
Split 7,29.52705581593524,51.98125266297401,67.44780570941627,81.12484022155944,91.05240732850447,98.12526629740094,100,100,100,
Split 8,24.15850021303792,46.27183638687686,62.377503195568806,76.52322113336174,86.74904132935663,93.3958244567533,98.04005112910097,100,100,
