,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Win8,Win9
Split 1,100,100,100,100,100,100,100,100,100,
Split 2,68.9816787388155,100,100,100,100,100,100,100,100,
Split 3,53.34469535577333,88.87942053685556,100,100,100,100,100,100,100,
Split 4,44.48231785257776,77.03451214316148,94.84448231785258,100,100,100,100,100,100,
Split 5,38.26161056668087,69.49296974861525,88.62377503195569,96.71921602045164,100,100,100,100,100,
Split 6,31.188751597784403,54.154239454622925,71.36770345121431,85.04473796335748,94.50362164465275,100,100,100,100,
Split 7,26.927993182786537,47.592671495526204,65.18960374946741,78.78142309331061,88.58116744780571,97.01746910950149,100,100,100,
Split 8,22.965487856838518,41.88325521942906,59.56540264167022,73.15722198551342,84.1925862803579,91.86195142735407,97.31572219855134,100,100,
